Nombre,Departamento,Identificación,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre
Carlos Pérez,Antioquia,1652730894,16052803,19320859,14021362,10963040,11055701,18975476,13138943,16586241,11229614
María Gómez,Cundinamarca,1357620849,17926161,10237781,10351488,11695624,17470913,17783893,10176354,18885340,11576110
Juan Rodríguez,Valle del Cauca,1689542730,10055746,15549997,10283543,17470778,17142549,15782680,18988063,13652407,17358356
Laura Martínez,Atlántico,1962458037,18438932,11100331,10359118,19358966,16290783,17544056,12810838,13212612,15936758
Pedro Sánchez,Santander,1284695073,16621017,13464640,18946718,15210082,10368092,13810978,17759750,14966768,17725477
Ana Torres,Bolívar,1576298034,17226318,15007680,19324856,17704104,15909303,15535952,14085150,10755058,16816668
Luis Herrera,Nariño,1624305978,18711667,19940133,15809583,13591302,15173182,11399263,18076236,18316557,18086430
Isabel Ramírez,Caldas,1498570263,10108413,15022135,13470866,10244785,18036613,15264252,10064245,18171573,12709282
Diego Ruiz,Risaralda,1048265937,16937563,11302841,18742363,18007291,16357542,13584983,14776735,19429775,17086059
Sandra López,Meta,1075684392,15637231,19542402,15547640,16624063,14589874,14727041,14293634,17023366,13619874
