Nombre,Identificación,Departamento,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre
Carlos Pérez,1000000000,Antioquia,508502,1021318,837393,529836,1209042,959918,1320123,712545,1168245
María Gómez,1000000001,Cundinamarca,751721,746889,516082,1498839,523768,1107209,872015,1483108,1418390
Juan Rodríguez,1000000002,Valle del Cauca,1261098,1120082,534718,1010289,804490,568301,1331449,1319441,718081
Laura Martínez,1000000003,Atlántico,1222001,1395793,1394358,1240463,1339782,850132,1169991,1046668,734244
Pedro Sánchez,1000000004,Santander,565548,1095606,689232,642458,1208027,1339215,1218409,1378796,1214255
Ana Torres,1000000005,Bolívar,1351900,1244338,1193068,1218508,1434184,761050,1419350,566377,573180
Luis Herrera,1000000006,Nariño,1296144,569022,1217493,822848,543931,676346,672723,786944,1388146
Isabel Ramírez,1000000007,Caldas,1136251,1438277,1188535,575444,1232432,511927,1329291,588467,748765
Diego Ruiz,1000000008,Risaralda,697284,539382,811977,1341086,1154979,901922,1089186,931700,699973
Sandra López,1000000009,Meta,1148913,850865,773071,561975,569281,1449453,1186919,834059,1092569
